20170804	 23706.5	
20170805	 24883.5	
20170806	 34683.5	
20170807	 34585.5	
20170808	 34307.5	
20170809	 38907.5	
20170810	 38607.5	
20170811	 38307.5	
20170812	 38273.0	
20170813	 38244.0	
20170816	 38160.0	
20170817	 37976.0	
20170818	 35976.0	
20170819	 35929.0	
20170820	 35900.0	
20170821	 35125.0	
20170822	 36106.0	
20170823	 35848.0	
20170824	 35760.0	
20170825	 35260.0	
20170826	 34962.0	
20170827	 34884.0	
20170828	 34848.0	
20170829	 31348.0	
20170901	 31228.0	
20170902	 32405.0	
20170903	 32205.0	
20170904	 32107.0	
20170905	 31829.0	
20170906	 41429.0	
20170907	 41129.0	
20170908	 40829.0	
20170909	 40794.5	
20170910	 40765.5	
20170911	 40724.5	
20170912	 45658.5	
20170913	 45574.5	
20170914	 45390.5	
20170915	 43390.5	
20170916	 43343.5	
20170917	 43314.5	
20170918	 42539.5	
20170919	 44820.5	
20170920	 44562.5	
20170923	 44264.5	
20171004	 44144.5	
20171005	 45321.5	
20171006	 55121.5	
20171007	 55023.5	
20171008	 54745.5	
20171009	 56345.5	
20171010	 56045.5	
20171011	 55745.5	
20171012	 55711.0	
20171017	 55527.0	
20171018	 53527.0	
20171019	 53480.0	
20171020	 53451.0	
20171021	 52676.0	
20171022	 53657.0	
20171023	 53399.0	
20171024	 53311.0	
20171025	 52811.0	
20171026	 52513.0	
20171027	 52435.0	
20171028	 52399.0	
20171029	 48899.0	
20171101	 48779.0	
